Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Clear solution after mixing,Si/OH,Si/Al,Time (h),Temperature (°C),Morphology,Product Si/Al,SBET (m2/g),Sexternal (m2/g),Vmicro (cm3/g),pH,Product ,Unnamed: 23
50,EP50,36.9,0.5,9.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.24390243902439027,18.0,72.0,40,,,,,,13.64,Solution,
51,EP51,36.9,3.5,9.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.24390243902439027,2.5714285714285716,72.0,40,nanocrystal,1.03,678.38,279.15,0.17,13.65,EMT,
52,EP52,36.9,0.5,10.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2710027100271003,20.0,72.0,40,,,,,,13.6,Solution,
53,EP53,36.9,1.5,9.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.25745257452574527,6.333333333333333,72.0,40,,,,,,13.71,EMT + Amorphous,
54,EP54,36.9,2.5,10.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2710027100271003,4.0,72.0,40,,1.05,573.66,279.17,0.12,13.7,EMT + Amorphous,
55,EP55,36.9,3.5,9.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.25745257452574527,2.7142857142857144,72.0,40,,1.31,399.56,188.16,0.09,13.71,EMT + Amorphous,
56,EP56,36.9,2.5,8.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.23035230352303523,3.4,72.0,40,nanocrystal,1.34,349.54,163.02,0.08,13.71,EMT,
57,EP57,36.9,1.0,12.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.3252032520325203,12.0,72.0,40,,1.3,251.0,76.15,0.07,13.72,EMT + Amorphous,
58,EP58,36.9,1.0,15.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.4065040650406504,15.0,72.0,40,,,,,,13.71,EMT + Amorphous,
59,EP59,36.9,2.5,12.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.33875338753387535,5.0,72.0,40,nanocrystal,,,,,13.75,EMT,
60,EP60,36.9,3.5,11.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.31165311653116534,3.2857142857142856,72.0,40,nanocrystal,1.1,465.15,218.96,0.1,13.73,EMT,
61,EP09L,36.9,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,2.575,72.0,35,,1.12,,,,13.472,EMT + Amorphous,
62,EP11L,36.9,1.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,5.15,72.0,35,nanocrystal,1.4,,,,13.585,EMT,
63,EP17L,36.9,0.8,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,6.4375,72.0,35,,1.4,,,,13.63,EMT + Amorphous,
64,EP18L,36.9,1.5,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,3.4333333333333336,72.0,35,,1.19,,,,13.63,EMT + Amorphous,
65,EP23L,40.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.12875,2.575,72.0,35,,1.06,,,,13.631,Amorphous + EMT,
66,EP24L,34.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,2.575,72.0,35,,1.11,,,,13.645,EMT + Amorphous,
67,EP25L,32.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1609375,2.575,72.0,35,nanocrystal,1.4,,,,13.418,EMT,
68,EP26L,34.0,1.6,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,3.21875,72.0,35,,,,,,13.476,EMT + Amorphous,
69,EP27L,34.0,1.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,5.15,72.0,35,,,,,,13.48,EMT + Amorphous,
70,EP30L,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,72.0,35,nanocrystal,,,,,13.447,EMT,
